repetition,batch_index,input_start,input_end,cumulative_input_count,batch_comparable_count,cumulative_comparable_count,algorithm,batch_runtime_ms
9,10,1801,2000,2000,198,1957,Pratt,6.47621
9,10,1801,2000,2000,198,1957,NTable_Fresh,10.902063
9,10,1801,2000,2000,198,1957,NTable_SharedReuse,5.688524
9,11,2001,2200,2200,193,2150,NTable_Fresh,12.833891
9,11,2001,2200,2200,193,2150,NTable_SharedReuse,5.747352
9,11,2001,2200,2200,193,2150,Pratt,6.310409
9,12,2201,2400,2400,195,2345,NTable_SharedReuse,5.984379
9,12,2201,2400,2400,195,2345,Pratt,6.684924
9,12,2201,2400,2400,195,2345,NTable_Fresh,12.384023
9,13,2401,2600,2600,195,2540,Pratt,5.375532
9,13,2401,2600,2600,195,2540,NTable_Fresh,9.121392
9,13,2401,2600,2600,195,2540,NTable_SharedReuse,4.993508
9,14,2601,2800,2800,193,2733,NTable_Fresh,9.152238
9,14,2601,2800,2800,193,2733,NTable_SharedReuse,4.784362
9,14,2601,2800,2800,193,2733,Pratt,5.231315
9,15,2801,3000,3000,197,2930,NTable_SharedReuse,4.958865
9,15,2801,3000,3000,197,2930,Pratt,5.52008
9,15,2801,3000,3000,197,2930,NTable_Fresh,9.351167
10,1,1,200,200,195,195,NTable_Fresh,12.020776
10,1,1,200,200,195,195,NTable_SharedReuse,9.111016
10,1,1,200,200,195,195,Pratt,6.750312
10,2,201,400,400,196,391,NTable_SharedReuse,5.864498
10,2,201,400,400,196,391,Pratt,5.802025
10,2,201,400,400,196,391,NTable_Fresh,9.987386
10,3,401,600,600,197,588,Pratt,6.253935
10,3,401,600,600,197,588,NTable_Fresh,10.11676
10,3,401,600,600,197,588,NTable_SharedReuse,6.149618
10,4,601,800,800,195,783,NTable_Fresh,10.1234
10,4,601,800,800,195,783,NTable_SharedReuse,5.298887
10,4,601,800,800,195,783,Pratt,5.88495
10,5,801,1000,1000,195,978,NTable_SharedReuse,5.9917
10,5,801,1000,1000,195,978,Pratt,7.102552
10,5,801,1000,1000,195,978,NTable_Fresh,12.269582
10,6,1001,1200,1200,193,1171,Pratt,6.407687
10,6,1001,1200,1200,193,1171,NTable_Fresh,10.754049
10,6,1001,1200,1200,193,1171,NTable_SharedReuse,5.471307
10,7,1201,1400,1400,195,1366,NTable_Fresh,9.883048
10,7,1201,1400,1400,195,1366,NTable_SharedReuse,5.193629
10,7,1201,1400,1400,195,1366,Pratt,5.762615
10,8,1401,1600,1600,198,1564,NTable_SharedReuse,5.616686
10,8,1401,1600,1600,198,1564,Pratt,6.150228
10,8,1401,1600,1600,198,1564,NTable_Fresh,10.84079
10,9,1601,1800,1800,195,1759,Pratt,5.367201
10,9,1601,1800,1800,195,1759,NTable_Fresh,9.154712
10,9,1601,1800,1800,195,1759,NTable_SharedReuse,4.9885
10,10,1801,2000,2000,198,1957,NTable_Fresh,11.17276
10,10,1801,2000,2000,198,1957,NTable_SharedReuse,5.728965
10,10,1801,2000,2000,198,1957,Pratt,6.302909
10,11,2001,2200,2200,193,2150,NTable_SharedReuse,5.546811
10,11,2001,2200,2200,193,2150,Pratt,6.085452
10,11,2001,2200,2200,193,2150,NTable_Fresh,10.483392
10,12,2201,2400,2400,195,2345,Pratt,6.415198
10,12,2201,2400,2400,195,2345,NTable_Fresh,10.765707
10,12,2201,2400,2400,195,2345,NTable_SharedReuse,5.725119
10,13,2401,2600,2600,195,2540,NTable_Fresh,9.092698
10,13,2401,2600,2600,195,2540,NTable_SharedReuse,5.032867
10,13,2401,2600,2600,195,2540,Pratt,5.209662
10,14,2601,2800,2800,193,2733,NTable_SharedReuse,4.799435
10,14,2601,2800,2800,193,2733,Pratt,5.522443
10,14,2601,2800,2800,193,2733,NTable_Fresh,9.567664
10,15,2801,3000,3000,197,2930,Pratt,5.595414
10,15,2801,3000,3000,197,2930,NTable_Fresh,9.75157
10,15,2801,3000,3000,197,2930,NTable_SharedReuse,5.04185
